event_num,event_id_in_paper,timepoint,station0_seis,station1_seis,station2_seis,station3_seis,station0_shumb,station1_shumb,station2_shumb,station3_shumb,TDOA0_seismic,TDOA1_seismic,TDOA2_seismic,TDOA3_seismic,min_prominence_seismic,TDOA0_acoustic,TDOA1_acoustic,TDOA2_acoustic,TDOA3_acoustic,min_prominence_acoustic,x_best_acoustic_prob,y_best_acoustic_prob,x_best_seismic_prob,y_best_seismic_prob,x_best_multi_prob,y_best_multi_prob,prob_toa_error_mean_seismic,prob_toa_error_min_seismic,prob_toa_error_std_seismic,prob_toa_error_mean_acoustic,prob_toa_error_min_acoustic,prob_toa_error_std_acoustic,prob_toa_error_mean_multimodal,prob_toa_error_min_multimodal,prob_toa_error_std_multimodal,residual_seismic,toa_error_mean_seismic,toa_error_min_seismic,toa_error_std_seismic,x_best_seismic_det,y_best_seismic_det,residual_acoustic,toa_error_mean_acoustic,toa_error_min_acoustic,toa_error_std_acoustic,x_best_acoustic_det,y_best_acoustic_det
1418,1,2019-02-23T20:43:32.000000Z,WTA00,STA02,ETA00,NTA02,WTA00,STA02,ETA00,NTA02,0,-0.435,-0.06,-0.055,0.131066605,0,-0.41325,-0.025375,-0.06525,0.135784203,188.8162738,238.9226136,197.0988722,230.44672,189.0140569,238.590635,6.52104456,0.40068842,3.278199148,8.047304724,3.131843264,3.131407249,7.214733126,3.924872361,1.766812499,0.099778909,3.339965069,0.056021091,1.943728874,197.3763395,230.6473521,6.992474259,7.092445452,3.983333319,2.129464924,195.6918297,232.2271121
1427,2,2019-02-23T21:01:47.000000Z,STA02,WTA00,ETA00,NTA02,WTA00,STA02,ETA00,NTA02,0,0.235,0.31,-0.08,0.435429628,0,-0.148625,0.29725,-0.293625,0.342354815,140.0543473,341.6220107,182.1528356,324.2567143,152.4367493,335.7060306,6.873362433,0.75321018,3.519199323,8.046428155,4.179682874,2.881608454,17.47752754,12.34442161,2.026702981,0.901916338,7.960130385,0.549339214,4.29925882,182.3304359,324.8432661,7.507300855,7.544440034,4.512122515,1.786152828,182.3304359,324.8432661
1429,3,2019-02-23T21:06:32.000000Z,STA02,WTA00,ETA00,NTA02,ETA00,WTA00,STA02,NTA02,0,0.17,0.26,-0.065,0.555396127,0,-0.21025,-0.377,-0.511125,0.031044139,160.8804548,336.2611343,175.8339981,327.460046,164.5358761,332.1821166,6.55613538,0.593684775,3.446670057,5.996673188,1.031958213,2.995391568,10.6900767,7.379337495,1.723480236,0.054530643,4.886088869,0.03318726,3.274881653,176.0947569,326.3056377,1.7091829,4.008648629,1.031952907,1.755180159,187.3531153,323.0168302
1448,4,2019-02-23T21:44:12.000000Z,ETA00,STA02,WTA00,NTA02,ETA00,WTA00,STA02,NTA02,0,-0.42,-0.39,-0.505,0.258734561,0,-0.5655,-0.4785,-0.685125,0.046229072,65.36462218,379.8232874,106.863692,347.0772484,103.1491569,355.4581689,7.411232234,1.422728632,3.587428174,6.983207678,1.710978381,2.975097,9.945563024,6.827913189,1.798087372,2.489465486,6.229083577,1.478865448,2.800154964,108.0734324,344.5522566,3.75930221,5.227860456,1.791332511,1.900052668,125.5222035,339.8331141
1525,5,2019-02-24T00:21:22.000000Z,ETA00,STA02,WTA00,NTA02,WTA00,ETA00,STA02,NTA02,0,0.255,0.07,-0.35,0.211114677,0,0.0435,0.199375,-0.641625,0.039878033,201.7781607,428.2614893,237.9028276,444.6882037,222.2834425,441.4821075,8.325302467,3.036375873,3.475105784,14.4875037,10.70899251,1.609652767,12.82960864,10.91613707,1.191953648,6.193905838,9.309761072,3.647504916,3.289105802,236.8031017,443.2217909,22.09363308,17.02715984,13.04269694,2.361062026,227.376116,424.5715029
2039,6,2019-02-24T17:42:30.000000Z,NTA02,ETA00,STA02,WTA00,NTA02,WTA00,ETA00,STA02,0,-0.07,-0.43,0.12,0.085930416,0,0.02175,0.09425,-0.373375,0.242194049,170.1569348,242.3585971,223.6744963,223.7439121,200.868513,238.207352,6.498213351,0.336385424,3.754345666,5.77647377,0.551311101,2.990551602,19.25518907,15.07042065,2.070959417,0.112727103,5.815571105,0.06297217,3.9109384,223.7725691,224.1654366,0.789390276,3.210692996,0.449848343,1.637209222,230.9993711,219.2755377
4117,7,2019-02-28T11:26:27.000000Z,NTA02,ETA00,STA02,WTA00,ETA00,STA02,WTA00,NTA02,0,0.23,-0.03,0.285,0.252498031,0,-0.257375,0.02175,-0.271875,0.040126761,196.8142665,314.5547785,204.4391752,300.5028311,197.5972283,303.6393204,6.554130501,0.531483744,3.347549637,7.494356037,3.133221495,2.972446686,7.456060438,3.737333008,1.672490272,0.078551135,3.384525185,0.048069471,1.958961774,203.7885065,301.0903397,5.453718552,6.633224318,3.338626181,2.27239879,202.8582785,301.3031028
4740,8,2019-03-01T08:41:35.000000Z,ETA00,NTA02,STA02,WTA00,WTA00,ETA00,NTA02,STA02,0,0.2,-0.17,0.14,0.069377094,0,0.032625,0.018125,-0.286375,0.283781633,183.258382,232.2758908,222.6168282,184.8021267,178.6903473,227.7858315,24.63167702,18.9950012,1.949997451,20.97834263,15.38366225,3.158517429,27.59226109,22.06463368,2.075092561,38.41660567,26.16545469,22.78698553,1.960257266,220.7808926,197.2815214,31.20886383,27.25682077,23.75461792,2.073513836,214.7475868,206.7999273
4772,9,2019-03-01T09:46:07.000000Z,ETA00,NTA02,STA02,WTA00,WTA00,ETA00,NTA02,STA02,0,-0.565,-0.005,-0.13,0.323308828,0,0.141375,-0.192125,0.170375,0.071223017,176.573456,415.3730381,175.6188494,412.9777917,177.824206,413.4622328,6.168818781,1.227552466,2.980465661,27.1855414,21.39879349,1.591610493,15.29855654,11.74629746,1.482037109,1.861603616,8.525165059,1.016483417,4.365953276,177.1278701,411.7863084,41.92690624,26.39355927,24.954281,0.85079548,168.0456944,420.4258939
5493,10,2019-03-02T10:06:50.000000Z,ETA00,NTA02,STA02,WTA00,ETA00,WTA00,NTA02,STA02,0,-0.365,-0.355,-0.215,0.158341782,0,-0.18125,-0.48575,-0.348,0.176592633,166.397296,337.3485101,146.3678423,318.1315889,163.8766218,330.1525444,7.01524769,0.541825604,3.73089189,5.584736324,0.263426184,2.907044164,9.328167276,7.411833112,0.989929146,0.951590021,5.893026763,0.579664141,3.132705214,146.9354858,318.9141199,0.079784648,2.488695533,0.048165307,1.652111761,164.6232174,315.8337576
